Title,Authors,Journal,Year,nSamples,nPositive,Prevalence,HostFamily,HostGenus,Hosts,nSpecies,VirusGenus,VirusSubgenus,VirusStrain,DetectionType,StudyType,DetectionMethod,DetectionMethodSpecific,PCRMethod,GeneTarget,GeneTargetDetailed,Tissue,Sample,Country,State,SamplingSite,Latitude,Longitude,nSamplingTrips,YearDiscrete,MonthsDiscrete,StartYear,StartMonth,EndYear,EndMonth,Summer,Fall,Winter,Spring,TerminalSampling
longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,367,4,0.010899,Pteropodidae,Pteropus,Pteropus lylei,1,alphacoronavirus,NA,NA,pooled,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",swab,Thailand,Chonburi,"S1, S2, S3 (pooled)",NA,NA,NA,2012,NA,NA,January,NA,December,1,1,1,1,No
longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,367,64,0.174387,Pteropodidae,Pteropus,Pteropus lylei,1,betacoronavirus,NA,NA,pooled,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",swab,Thailand,Chonburi,"S1, S2, S3 (pooled)",NA,NA,NA,2012,NA,NA,January,NA,December,1,1,1,1,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,253,1,0.003953,Phyllostomidae,Carollia,Carollia sowelli,1,alphacoronavirus,NA,Mex Cov 2,single,cross-sectional,PCR,RT-PCR,single,NA,NA,oropharyngeal,swab,Mexico,Chiapas,Montes Azules,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,253,2,0.007905,Phyllostomidae,Dermanura,Dermanura phaeotis,1,betacoronavirus,NA,"Mex Cov 11a (1), Mex Cov 11b (1)",single,cross-sectional,PCR,RT-PCR,single,NA,NA,oropharyngeal,swab,Mexico,Chiapas,Montes Azules,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,253,1,0.003953,Phyllostomidae,Lonchorhina,Lonchorhina aurita,1,alphacoronavirus,NA,Mex Cov 3,single,cross-sectional,PCR,RT-PCR,single,NA,NA,"faecal, rectal, or anal",swab,Mexico,Chiapas,Montes Azules,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,253,1,0.003953,Phyllostomidae,Artibeus,Artibeus jamaicensis,1,alphacoronavirus,NA,Mex Cov 5a,single,cross-sectional,PCR,RT-PCR,single,NA,NA,"faecal, rectal, or anal",swab,Mexico,Chiapas,Montes Azules,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,142,1,0.007042,Phyllostomidae,Artibeus,Artibeus jamaicensis,1,alphacoronavirus,NA,Mex Cov 5a,single,cross-sectional,PCR,RT-PCR,single,NA,NA,"faecal, rectal, or anal",swab,Mexico,Chiapas,Montes Azules,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,142,1,0.007042,Vespertilionidae,Eptesicus,Eptesicus fuscus,1,alphacoronavirus,NA,Mex Cov 6,single,cross-sectional,PCR,RT-PCR,single,NA,NA,blood or serum,sera,Mexico,Chiapas,Montes Azules,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,293,1,0.003413,Phyllostomidae,Carollia,Carollia sowelli,1,alphacoronavirus,NA,Mex Cov 1,single,cross-sectional,PCR,RT-PCR,single,NA,NA,oropharyngeal,swab,Mexico,Chiapas,Montes Azules,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
viral diversity of bat communities in human-dominated landscapes in mexico,Rico-Ch�vez et al.,Veterinaria MÃ©xico OA,2015,293,1,0.003413,Phyllostomidae,Carollia,Carollia sowelli,1,alphacoronavirus,NA,Mex Cov 1,single,cross-sectional,PCR,RT-PCR,single,NA,NA,"faecal, rectal, or anal",swab,Mexico,Chiapas,Montes Azules,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
